"REPORT_DT","LOCATION","ORIGIN_NM","COMMODITY","disposition"
"2020-01-02","TX Brownsville CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-01-03","HI Honolulu CBP","Japan","Hyacinthus","CFRP Not Inspected"
"2020-01-03","TX Brownsville CBP","India","Anemone","OK Inspected"
"2020-01-04","AZ Phoenix CBP","New Zealand","Gerbera","CFRP Not Inspected"
"2020-01-05","AZ Phoenix CBP","Tanzania","Anemone","OK Inspected"
"2020-01-05","AZ Phoenix CBP","Japan","Liatris","OK Inspected"
"2020-01-06","TX Brownsville CBP","Israel","Agapanthus","OK Inspected"
"2020-01-07","HI Honolulu CBP","Netherlands","Anemone","OK Inspected"
"2020-01-07","TX Brownsville CBP","Israel","Rosa","CFRP Not Inspected"
"2020-01-08","NY JFK CBP","India","Agapanthus","OK Inspected"
"2020-01-09","NY JFK CBP","Mexico","Rosa","CFRP Not Inspected"
"2020-01-09","HI Honolulu CBP","Tanzania","Liatris","OK Inspected"
"2020-01-10","TX Brownsville CBP","New Zealand","Agapanthus","OK Inspected"
"2020-01-11","NY JFK CBP","India","Gerbera","CFRP Not Inspected"
"2020-01-11","VA Dulles CBP","Israel","Liatris","OK Inspected"
"2020-01-12","WA Blaine CBP","Japan","Liatris","OK Inspected"
"2020-01-13","WA Blaine CBP","Israel","Hyacinthus","CFRP Not Inspected"
"2020-01-13","WA Blaine CBP","Japan","Liatris","OK Inspected"
"2020-01-14","WA Seattle Air CBP","Tanzania","Protea","OK Inspected"
"2020-01-15","NY JFK CBP","Mexico","Anemone","OK Inspected"
"2020-01-15","FL Miami Air CBP","Netherlands","Actinidia","OK CFRP Inspected"
"2020-01-16","AZ Phoenix CBP","Japan","Anemone","OK Inspected"
"2020-01-17","FL Miami Air CBP","Mexico","Agapanthus","OK Inspected"
"2020-01-17","WA Seattle Air CBP","Tanzania","Anemone","OK Inspected"
"2020-01-18","HI Honolulu CBP","Netherlands","Gerbera","CFRP Not Inspected"
"2020-01-19","AZ Phoenix CBP","Israel","Hyacinthus","CFRP Not Inspected"
"2020-01-19","FL Miami Air CBP","India","Protea","OK Inspected"
"2020-01-20","FL Miami Air CBP","India","Mokara","OK Inspected"
"2020-01-21","AZ Phoenix CBP","Tanzania","Mokara","OK Inspected"
"2020-01-21","VA Dulles CBP","Mexico","Aegilops","OK Inspected"
"2020-01-22","AZ Phoenix CBP","New Zealand","Rosa","OK CFRP Inspected"
"2020-01-23","NY JFK CBP","Mexico","Anemone","OK Inspected"
"2020-01-23","TX Brownsville CBP","Japan","Anemone","OK Inspected"
"2020-01-24","FL Miami Air CBP","India","Gerbera","CFRP Not Inspected"
"2020-01-25","TX Brownsville CBP","Tanzania","Mokara","OK Inspected"
"2020-01-25","AZ Phoenix CBP","Israel","Aegilops","OK Inspected"
"2020-01-26","CA San Francisco CBP","Mexico","Mokara","OK Inspected"
"2020-01-27","AZ Phoenix CBP","Mexico","Mokara","OK Inspected"
"2020-01-27","WA Blaine CBP","Mexico","Agapanthus","OK Inspected"
"2020-01-28","NY JFK CBP","India","Actinidia","CFRP Not Inspected"
"2020-01-29","TX Brownsville CBP","India","Protea","OK Inspected"
"2020-01-29","CA San Francisco CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-01-30","TX Brownsville CBP","India","Aegilops","OK Inspected"
"2020-01-31","FL Miami Air CBP","Mexico","Aegilops","OK Inspected"
"2020-01-31","NY JFK CBP","Netherlands","Actinidia","OK CFRP Inspected"
"2020-02-01","TX Brownsville CBP","Netherlands","Anemone","OK Inspected"
"2020-02-02","WA Seattle Air CBP","India","Hyacinthus","CFRP Not Inspected"
"2020-02-02","FL Miami Air CBP","Israel","Hyacinthus","CFRP Not Inspected"
"2020-02-03","VA Dulles CBP","Tanzania","Actinidia","Pest Found CFRP Inspected"
"2020-02-04","AZ Phoenix CBP","Mexico","Rosa","CFRP Not Inspected"
"2020-02-04","TX Brownsville CBP","New Zealand","Mokara","OK Inspected"
"2020-02-05","VA Dulles CBP","Israel","Anemone","OK Inspected"
"2020-02-06","FL Miami Air CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-02-06","NY JFK CBP","Japan","Anemone","OK Inspected"
"2020-02-07","WA Blaine CBP","Mexico","Agapanthus","OK Inspected"
"2020-02-08","VA Dulles CBP","Japan","Mokara","OK Inspected"
"2020-02-08","FL Miami Air CBP","Japan","Anemone","OK Inspected"
"2020-02-09","FL Miami Air CBP","Netherlands","Rosa","CFRP Not Inspected"
"2020-02-10","TX Brownsville CBP","Mexico","Actinidia","CFRP Not Inspected"
"2020-02-10","WA Blaine CBP","India","Hyacinthus","CFRP Not Inspected"
"2020-02-11","AZ Phoenix CBP","Japan","Mokara","OK Inspected"
"2020-02-12","NY JFK CBP","New Zealand","Mokara","OK Inspected"
"2020-02-12","VA Dulles CBP","Tanzania","Aegilops","OK Inspected"
"2020-02-13","FL Miami Air CBP","Japan","Liatris","OK Inspected"
"2020-02-14","WA Blaine CBP","Tanzania","Actinidia","CFRP Not Inspected"
"2020-02-14","CA San Francisco CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-02-15","WA Blaine CBP","Israel","Protea","OK Inspected"
"2020-02-16","NY JFK CBP","Mexico","Anemone","OK Inspected"
"2020-02-16","FL Miami Air CBP","Israel","Actinidia","CFRP Not Inspected"
"2020-02-17","CA San Francisco CBP","Netherlands","Aegilops","OK Inspected"
"2020-02-18","HI Honolulu CBP","Japan","Mokara","OK Inspected"
"2020-02-18","NY JFK CBP","Israel","Aegilops","OK Inspected"
"2020-02-19","AZ Phoenix CBP","Tanzania","Hyacinthus","CFRP Not Inspected"
"2020-02-20","VA Dulles CBP","Netherlands","Hyacinthus","OK CFRP Inspected"
"2020-02-20","NY JFK CBP","Japan","Agapanthus","OK Inspected"
"2020-02-21","WA Blaine CBP","India","Aegilops","Pest Found"
"2020-02-22","WA Seattle Air CBP","Mexico","Agapanthus","Pest Found"
"2020-02-22","NY JFK CBP","Mexico","Mokara","OK Inspected"
"2020-02-23","CA San Francisco CBP","India","Rosa","CFRP Not Inspected"
"2020-02-24","WA Blaine CBP","New Zealand","Hyacinthus","OK CFRP Inspected"
"2020-02-24","TX Brownsville CBP","New Zealand","Actinidia","CFRP Not Inspected"
"2020-02-25","TX Brownsville CBP","India","Actinidia","CFRP Not Inspected"
"2020-02-26","HI Honolulu CBP","Netherlands","Aegilops","OK Inspected"
"2020-02-26","WA Blaine CBP","Israel","Protea","OK Inspected"
"2020-02-27","HI Honolulu CBP","New Zealand","Aegilops","OK Inspected"
"2020-02-28","WA Seattle Air CBP","Israel","Agapanthus","OK Inspected"
"2020-02-28","TX Brownsville CBP","India","Agapanthus","OK Inspected"
"2020-02-29","AZ Phoenix CBP","Israel","Actinidia","CFRP Not Inspected"
"2020-03-01","NY JFK CBP","Mexico","Actinidia","CFRP Not Inspected"
"2020-03-01","VA Dulles CBP","Mexico","Liatris","OK Inspected"
"2020-03-02","AZ Phoenix CBP","Tanzania","Agapanthus","OK Inspected"
"2020-03-03","NY JFK CBP","Mexico","Protea","OK Inspected"
"2020-03-03","CA San Francisco CBP","Mexico","Rosa","CFRP Not Inspected"
"2020-03-04","HI Honolulu CBP","Netherlands","Agapanthus","OK Inspected"
"2020-03-05","CA San Francisco CBP","India","Agapanthus","OK Inspected"
"2020-03-05","FL Miami Air CBP","Netherlands","Gerbera","OK CFRP Inspected"
"2020-03-06","AZ Phoenix CBP","Tanzania","Protea","OK Inspected"
"2020-03-07","FL Miami Air CBP","Mexico","Mokara","OK Inspected"
"2020-03-07","TX Brownsville CBP","Mexico","Agapanthus","OK Inspected"
"2020-03-08","HI Honolulu CBP","Mexico","Agapanthus","OK Inspected"
"2020-03-09","AZ Phoenix CBP","Tanzania","Aegilops","OK Inspected"
"2020-03-09","WA Blaine CBP","Israel","Aegilops","OK Inspected"
"2020-03-10","TX Brownsville CBP","Japan","Mokara","OK Inspected"
"2020-03-11","HI Honolulu CBP","Tanzania","Anemone","Pest Found"
"2020-03-11","CA San Francisco CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-03-12","WA Seattle Air CBP","India","Agapanthus","OK Inspected"
"2020-03-13","VA Dulles CBP","Israel","Rosa","CFRP Not Inspected"
"2020-03-13","FL Miami Air CBP","Tanzania","Hyacinthus","CFRP Not Inspected"
"2020-03-14","VA Dulles CBP","Israel","Actinidia","CFRP Not Inspected"
"2020-03-15","CA San Francisco CBP","New Zealand","Gerbera","CFRP Not Inspected"
"2020-03-15","WA Blaine CBP","India","Agapanthus","OK Inspected"
"2020-03-16","HI Honolulu CBP","Japan","Anemone","OK Inspected"
"2020-03-17","TX Brownsville CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-03-17","AZ Phoenix CBP","Netherlands","Rosa","CFRP Not Inspected"
"2020-03-18","FL Miami Air CBP","Israel","Gerbera","CFRP Not Inspected"
"2020-03-19","WA Blaine CBP","Netherlands","Aegilops","OK Inspected"
"2020-03-19","TX Brownsville CBP","New Zealand","Liatris","OK Inspected"
"2020-03-20","WA Seattle Air CBP","Israel","Rosa","CFRP Not Inspected"
"2020-03-21","WA Blaine CBP","New Zealand","Gerbera","OK CFRP Inspected"
"2020-03-21","FL Miami Air CBP","Tanzania","Anemone","OK Inspected"
"2020-03-22","VA Dulles CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-03-23","TX Brownsville CBP","Japan","Anemone","OK Inspected"
"2020-03-23","WA Blaine CBP","Netherlands","Anemone","OK Inspected"
"2020-03-24","WA Blaine CBP","India","Liatris","OK Inspected"
"2020-03-25","NY JFK CBP","Mexico","Liatris","OK Inspected"
"2020-03-25","FL Miami Air CBP","Netherlands","Liatris","OK Inspected"
"2020-03-26","WA Seattle Air CBP","Mexico","Agapanthus","OK Inspected"
"2020-03-27","WA Blaine CBP","India","Protea","OK Inspected"
"2020-03-27","TX Brownsville CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-03-28","FL Miami Air CBP","Mexico","Hyacinthus","Pest Found CFRP Inspected"
"2020-03-29","WA Seattle Air CBP","Japan","Aegilops","OK Inspected"
"2020-03-29","CA San Francisco CBP","Netherlands","Protea","OK Inspected"
"2020-03-30","TX Brownsville CBP","Japan","Protea","OK Inspected"
"2020-03-31","HI Honolulu CBP","India","Mokara","OK Inspected"
"2020-03-31","FL Miami Air CBP","Israel","Rosa","CFRP Not Inspected"
"2020-04-01","VA Dulles CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-04-02","WA Blaine CBP","Netherlands","Aegilops","OK Inspected"
"2020-04-02","TX Brownsville CBP","Tanzania","Liatris","OK Inspected"
"2020-04-03","FL Miami Air CBP","Tanzania","Mokara","OK Inspected"
"2020-04-04","FL Miami Air CBP","Israel","Aegilops","Pest Found"
"2020-04-04","FL Miami Air CBP","New Zealand","Mokara","OK Inspected"
"2020-04-05","NY JFK CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-04-06","CA San Francisco CBP","Netherlands","Gerbera","CFRP Not Inspected"
"2020-04-06","NY JFK CBP","New Zealand","Protea","OK Inspected"
"2020-04-07","FL Miami Air CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-04-08","VA Dulles CBP","India","Gerbera","CFRP Not Inspected"
"2020-04-08","VA Dulles CBP","Netherlands","Gerbera","CFRP Not Inspected"
"2020-04-09","TX Brownsville CBP","Netherlands","Rosa","CFRP Not Inspected"
"2020-04-10","AZ Phoenix CBP","India","Gerbera","CFRP Not Inspected"
"2020-04-10","VA Dulles CBP","New Zealand","Actinidia","CFRP Not Inspected"
"2020-04-11","CA San Francisco CBP","New Zealand","Anemone","OK Inspected"
"2020-04-12","VA Dulles CBP","Tanzania","Anemone","OK Inspected"
"2020-04-12","VA Dulles CBP","Mexico","Gerbera","CFRP Not Inspected"
"2020-04-13","HI Honolulu CBP","Mexico","Aegilops","OK Inspected"
"2020-04-14","HI Honolulu CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-04-14","NY JFK CBP","Japan","Mokara","OK Inspected"
"2020-04-15","VA Dulles CBP","Japan","Agapanthus","OK Inspected"
"2020-04-16","AZ Phoenix CBP","India","Aegilops","OK Inspected"
"2020-04-16","AZ Phoenix CBP","Tanzania","Anemone","OK Inspected"
"2020-04-17","FL Miami Air CBP","Japan","Mokara","OK Inspected"
"2020-04-18","HI Honolulu CBP","India","Mokara","OK Inspected"
"2020-04-18","VA Dulles CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-04-19","WA Seattle Air CBP","Israel","Hyacinthus","CFRP Not Inspected"
"2020-04-20","HI Honolulu CBP","India","Liatris","OK Inspected"
"2020-04-20","FL Miami Air CBP","Israel","Protea","OK Inspected"
"2020-04-21","FL Miami Air CBP","Mexico","Mokara","OK Inspected"
"2020-04-22","WA Blaine CBP","Japan","Rosa","OK CFRP Inspected"
"2020-04-22","NY JFK CBP","Netherlands","Actinidia","CFRP Not Inspected"
"2020-04-23","TX Brownsville CBP","Mexico","Anemone","OK Inspected"
"2020-04-24","VA Dulles CBP","India","Mokara","OK Inspected"
"2020-04-24","WA Seattle Air CBP","Netherlands","Agapanthus","OK Inspected"
"2020-04-25","VA Dulles CBP","Israel","Mokara","OK Inspected"
"2020-04-26","VA Dulles CBP","India","Aegilops","OK Inspected"
"2020-04-26","NY JFK CBP","Netherlands","Mokara","OK Inspected"
"2020-04-27","WA Seattle Air CBP","Netherlands","Agapanthus","OK Inspected"
"2020-04-28","AZ Phoenix CBP","Mexico","Agapanthus","OK Inspected"
"2020-04-28","VA Dulles CBP","Mexico","Protea","Pest Found"
"2020-04-29","NY JFK CBP","Tanzania","Actinidia","CFRP Not Inspected"
"2020-04-30","NY JFK CBP","Netherlands","Actinidia","CFRP Not Inspected"
"2020-04-30","VA Dulles CBP","Israel","Aegilops","Pest Found"
"2020-05-01","FL Miami Air CBP","Netherlands","Liatris","OK Inspected"
"2020-05-02","AZ Phoenix CBP","India","Rosa","OK CFRP Inspected"
"2020-05-02","AZ Phoenix CBP","Japan","Agapanthus","OK Inspected"
"2020-05-03","AZ Phoenix CBP","New Zealand","Hyacinthus","CFRP Not Inspected"
"2020-05-04","WA Blaine CBP","India","Agapanthus","OK Inspected"
"2020-05-04","AZ Phoenix CBP","Mexico","Mokara","OK Inspected"
"2020-05-05","WA Seattle Air CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-05-06","FL Miami Air CBP","Tanzania","Anemone","OK Inspected"
"2020-05-06","AZ Phoenix CBP","New Zealand","Protea","OK Inspected"
"2020-05-07","AZ Phoenix CBP","Israel","Protea","OK Inspected"
"2020-05-08","CA San Francisco CBP","Netherlands","Mokara","OK Inspected"
"2020-05-08","WA Seattle Air CBP","Japan","Actinidia","CFRP Not Inspected"
"2020-05-09","WA Blaine CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-05-10","WA Seattle Air CBP","Japan","Anemone","OK Inspected"
"2020-05-10","FL Miami Air CBP","Israel","Hyacinthus","CFRP Not Inspected"
"2020-05-11","FL Miami Air CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-05-12","TX Brownsville CBP","Tanzania","Aegilops","OK Inspected"
"2020-05-12","FL Miami Air CBP","New Zealand","Anemone","OK Inspected"
"2020-05-13","HI Honolulu CBP","Netherlands","Protea","OK Inspected"
"2020-05-14","WA Blaine CBP","Israel","Aegilops","OK Inspected"
"2020-05-14","NY JFK CBP","Tanzania","Rosa","OK CFRP Inspected"
"2020-05-15","VA Dulles CBP","Tanzania","Mokara","OK Inspected"
"2020-05-16","FL Miami Air CBP","Japan","Actinidia","CFRP Not Inspected"
"2020-05-16","HI Honolulu CBP","Israel","Hyacinthus","OK CFRP Inspected"
"2020-05-17","NY JFK CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-05-18","FL Miami Air CBP","Mexico","Anemone","OK Inspected"
"2020-05-18","HI Honolulu CBP","Israel","Gerbera","CFRP Not Inspected"
"2020-05-19","NY JFK CBP","Israel","Protea","OK Inspected"
"2020-05-20","TX Brownsville CBP","Japan","Hyacinthus","OK CFRP Inspected"
"2020-05-20","HI Honolulu CBP","Israel","Actinidia","CFRP Not Inspected"
"2020-05-21","HI Honolulu CBP","India","Rosa","CFRP Not Inspected"
"2020-05-22","VA Dulles CBP","Japan","Aegilops","OK Inspected"
"2020-05-22","AZ Phoenix CBP","India","Anemone","OK Inspected"
"2020-05-23","AZ Phoenix CBP","Japan","Protea","OK Inspected"
"2020-05-24","WA Blaine CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-05-24","WA Seattle Air CBP","Netherlands","Gerbera","CFRP Not Inspected"
"2020-05-25","TX Brownsville CBP","Netherlands","Protea","OK Inspected"
"2020-05-26","WA Seattle Air CBP","Tanzania","Rosa","OK CFRP Inspected"
"2020-05-26","TX Brownsville CBP","New Zealand","Aegilops","OK Inspected"
"2020-05-27","HI Honolulu CBP","Netherlands","Aegilops","OK Inspected"
"2020-05-28","HI Honolulu CBP","Netherlands","Agapanthus","OK Inspected"
"2020-05-28","HI Honolulu CBP","New Zealand","Anemone","OK Inspected"
"2020-05-29","WA Seattle Air CBP","Tanzania","Gerbera","OK CFRP Inspected"
"2020-05-30","HI Honolulu CBP","Israel","Rosa","OK CFRP Inspected"
"2020-05-30","WA Seattle Air CBP","Japan","Gerbera","CFRP Not Inspected"
"2020-05-31","NY JFK CBP","Netherlands","Hyacinthus","CFRP Not Inspected"
"2020-06-01","WA Blaine CBP","New Zealand","Liatris","OK Inspected"
"2020-06-01","CA San Francisco CBP","Japan","Mokara","OK Inspected"
"2020-06-02","HI Honolulu CBP","Japan","Rosa","OK CFRP Inspected"
"2020-06-03","VA Dulles CBP","India","Mokara","OK Inspected"
"2020-06-03","CA San Francisco CBP","Tanzania","Rosa","CFRP Not Inspected"
"2020-06-04","AZ Phoenix CBP","Tanzania","Gerbera","CFRP Not Inspected"
"2020-06-05","FL Miami Air CBP","Japan","Rosa","CFRP Not Inspected"
"2020-06-05","TX Brownsville CBP","India","Liatris","OK Inspected"
"2020-06-06","WA Seattle Air CBP","Mexico","Gerbera","CFRP Not Inspected"
"2020-06-07","NY JFK CBP","Netherlands","Aegilops","OK Inspected"
"2020-06-07","WA Seattle Air CBP","Netherlands","Actinidia","OK CFRP Inspected"
"2020-06-08","WA Blaine CBP","Japan","Agapanthus","OK Inspected"
"2020-06-09","NY JFK CBP","New Zealand","Anemone","OK Inspected"
"2020-06-09","HI Honolulu CBP","India","Protea","OK Inspected"
"2020-06-10","WA Blaine CBP","New Zealand","Agapanthus","OK Inspected"
